,data,dayname,somma_polli,t_media,fenomeni,feste,team1,team2,championship,avversario,Italia
1487,2019-10-11,venerdì,48,15,sole,0,Lazio,Lecce,A,-,-
1487,2019-10-11,venerdì,48,15,sole,0,Frosinone,Chievo,B,-,-
1488,2019-10-12,sabato,53,14,sole,0,-,-,-,-,-
1489,2019-10-13,domenica,45,14,sole,0,-,-,-,-,-
1490,2019-10-15,martedì,34,18,sole,0,-,-,-,Liechtenstein,Italia
1491,2019-10-16,mercoledì,42,14,sole,0,-,-,-,-,-
1492,2019-10-17,giovedì,41,15,sole,0,-,-,-,-,-
1493,2019-10-18,venerdì,37,16,sole,0,-,-,-,-,-
1494,2019-10-19,sabato,53,16,sole,0,Juventus,Bologna,A,-,-
1494,2019-10-19,sabato,53,16,sole,0,Napoli,Verona,A,-,-
1494,2019-10-19,sabato,53,16,sole,0,Lazio,Atalanta,A,-,-
1495,2019-10-20,domenica,59,18,sole,0,Milan,Lecce,A,-,-
1495,2019-10-20,domenica,59,18,sole,0,Sassuolo,Inter,A,-,-
1495,2019-10-20,domenica,59,18,sole,0,Chievo,Ascoli,B,-,-
1496,2019-10-22,martedì,41,18,sole,0,-,-,-,-,-
1497,2019-10-23,mercoledì,38,17,sole,0,-,-,-,-,-
1498,2019-10-24,giovedì,44,16,sole,0,-,-,-,-,-
1499,2019-10-25,venerdì,42,17,sole,0,-,-,-,-,-
1500,2019-10-26,sabato,57,15,sole,0,Lecce,Juventus,A,-,-
1500,2019-10-26,sabato,57,15,sole,0,Inter,Parma,A,-,-
1500,2019-10-26,sabato,57,15,sole,0,Cosenza,Chievo,B,-,-
1501,2019-10-27,domenica,48,14,sole,0,Fiorentina,Lazio,A,-,-
1501,2019-10-27,domenica,48,14,sole,0,Spal,Napoli,A,-,-
1501,2019-10-27,domenica,48,14,sole,0,Roma,Milan,A,-,-
1502,2019-10-29,martedì,36,15,sole,0,Brescia,Inter,A,-,-
1502,2019-10-29,martedì,36,15,sole,0,Chievo,Crotone,B,-,-
1503,2019-10-30,mercoledì,37,13,sole,0,Juventus,Genoa,A,-,-
1503,2019-10-30,mercoledì,37,13,sole,0,Napoli,Atalanta,A,-,-
1503,2019-10-30,mercoledì,37,13,sole,0,Lazio,Torino,A,-,-
1504,2019-10-31,giovedì,37,11,sole,0,Milan,Spal,A,-,-
1505,2019-11-01,venerdì,49,11,sole,Ognissanti,-,-,-,-,-
1506,2019-11-02,sabato,65,11,sole,Giorno dei Morti,-,-,-,-,-
1507,2019-11-03,domenica,52,12,sole,0,-,-,-,-,-
1508,2019-11-05,martedì,44,13,sole,0,Fiorentina,Milan,A,-,-
1508,2019-11-05,martedì,44,13,sole,0,Cagliari,Lazio,A,-,-
1509,2019-11-06,mercoledì,45,10,sole,0,-,-,-,Bosnia-Herzegovina,Italia
1510,2019-11-07,giovedì,30,10,sole,0,-,-,-,-,-
1511,2019-11-08,venerdì,50,11,sole,0,-,-,-,-,-
1512,2019-11-09,sabato,60,9,sole,0,-,-,-,-,-
1513,2019-11-10,domenica,51,8,sole,0,-,-,-,-,-
1514,2019-11-12,martedì,27,9,sole,0,-,-,-,-,-
1515,2019-11-13,mercoledì,32,10,sole,0,-,-,-,-,-
1516,2019-11-14,giovedì,35,8,sole,0,-,-,-,-,-
1517,2019-11-15,venerdì,54,10,sole,0,-,-,-,Bosnia-Herzegovina,Italia
1518,2019-11-16,sabato,52,8,sole,0,-,-,-,-,-
1519,2019-11-17,domenica,43,9,sole,0,-,-,-,-,-
